Configuration,Accuracy,F1-Score,Precision,Recall,Sensitivity,Specificity,Optimal_Threshold,CV_Accuracy_Mean,CV_Accuracy_Std,TN,FP,FN,TP
Set2_30w_K4,0.7428571428571429,0.7692307692307693,0.6976744186046512,0.8571428571428571,0.8571428571428571,0.6285714285714286,0.3500000000000001,0.7001633986928104,0.07235352421372089,22,13,5,30
Set2_25w_K4,0.7428571428571429,0.7692307692307693,0.6976744186046512,0.8571428571428571,0.8571428571428571,0.6285714285714286,0.3500000000000001,0.7001633986928104,0.07235352421372089,22,13,5,30
Set2_30w_K11,0.7285714285714285,0.732394366197183,0.7222222222222222,0.7428571428571429,0.7428571428571429,0.7142857142857143,0.5500000000000002,0.7034632034632033,0.1606404789201686,25,10,9,26
Set2_30w_LOO,0.7285714285714285,0.732394366197183,0.7222222222222222,0.7428571428571429,0.7428571428571429,0.7142857142857143,0.5500000000000002,0.7,0.45825756949558405,25,10,9,26
Set2_25w_LOO,0.7285714285714285,0.7246376811594202,0.7352941176470589,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.6000000000000002,0.6857142857142857,0.46423076597919777,26,9,10,25
Set2_25w_K11,0.7285714285714285,0.7246376811594202,0.7352941176470589,0.7142857142857143,0.7142857142857143,0.7428571428571429,0.6000000000000002,0.6883116883116883,0.15545285169675735,26,9,10,25
Set2_20w_K4,0.6,0.6956521739130436,0.5614035087719298,0.9142857142857143,0.9142857142857143,0.2857142857142857,0.3500000000000001,0.4991830065359477,0.054162415176363485,10,25,3,32
Set1_25w_LOO,0.5714285714285714,0.6808510638297872,0.5423728813559322,0.9142857142857143,0.9142857142857143,0.22857142857142856,0.25000000000000006,0.5714285714285714,0.49487165930539356,8,27,3,32
Set1_25w_K11,0.5571428571428572,0.6804123711340205,0.532258064516129,0.9428571428571428,0.9428571428571428,0.17142857142857143,0.20000000000000004,0.5281385281385281,0.19042699089110623,6,29,2,33
Set1_20w_LOO,0.5571428571428572,0.6736842105263158,0.5333333333333333,0.9142857142857143,0.9142857142857143,0.2,0.30000000000000004,0.5714285714285714,0.49487165930539356,7,28,3,32
Set2_20w_LOO,0.5428571428571428,0.673469387755102,0.5238095238095238,0.9428571428571428,0.9428571428571428,0.14285714285714285,0.1,0.5142857142857142,0.49979587670102593,5,30,2,33
Set1_20w_K11,0.5428571428571428,0.6666666666666666,0.5245901639344263,0.9142857142857143,0.9142857142857143,0.17142857142857143,0.30000000000000004,0.5432900432900433,0.20019012345925308,6,29,3,32
Set1_25w_K4,0.5142857142857142,0.6599999999999999,0.5076923076923077,0.9428571428571428,0.9428571428571428,0.08571428571428572,0.1,0.5702614379084968,0.13129977173177323,3,32,2,33
Set3_25w_K4,0.5142857142857142,0.6599999999999999,0.5076923076923077,0.9428571428571428,0.9428571428571428,0.08571428571428572,0.1,0.3978758169934641,0.09902486558227869,3,32,2,33
Set1_30w_K4,0.5,0.6534653465346535,0.5,0.9428571428571428,0.9428571428571428,0.05714285714285714,0.1,0.5408496732026143,0.08165031208267315,2,33,2,33
Set3_25w_LOO,0.5142857142857142,0.653061224489796,0.5079365079365079,0.9142857142857143,0.9142857142857143,0.11428571428571428,0.1,0.42857142857142855,0.4948716593053935,4,31,3,32
Set3_20w_LOO,0.5142857142857142,0.653061224489796,0.5079365079365079,0.9142857142857143,0.9142857142857143,0.11428571428571428,0.1,0.5,0.5,4,31,3,32
Set1_30w_LOO,0.5285714285714286,0.6526315789473685,0.5166666666666667,0.8857142857142857,0.8857142857142857,0.17142857142857143,0.20000000000000004,0.5428571428571428,0.49815987926179117,6,29,4,31
Set3_25w_K11,0.5,0.6464646464646465,0.5,0.9142857142857143,0.9142857142857143,0.08571428571428572,0.1,0.38311688311688313,0.12576484022799955,3,32,3,32
Set3_20w_K4,0.5,0.6464646464646465,0.5,0.9142857142857143,0.9142857142857143,0.08571428571428572,0.1,0.42647058823529416,0.15006904586576886,3,32,3,32
Set1_30w_K11,0.5,0.6464646464646465,0.5,0.9142857142857143,0.9142857142857143,0.08571428571428572,0.1,0.5411255411255411,0.1915798408083014,3,32,3,32
Set2_20w_K11,0.5,0.6391752577319587,0.5,0.8857142857142857,0.8857142857142857,0.11428571428571428,0.1,0.4718614718614718,0.19733803151586982,4,31,4,31
Set3_20w_K11,0.4857142857142857,0.6326530612244897,0.49206349206349204,0.8857142857142857,0.8857142857142857,0.08571428571428572,0.15000000000000002,0.3982683982683982,0.15163878691027702,3,32,4,31
Set1_20w_K4,0.4714285714285714,0.6262626262626262,0.484375,0.8857142857142857,0.8857142857142857,0.05714285714285714,0.1,0.5285947712418301,0.13799936216011252,2,33,4,31
Set3_30w_K4,0.5,0.6236559139784946,0.5,0.8285714285714286,0.8285714285714286,0.17142857142857143,0.15000000000000002,0.4558823529411765,0.07224735610926192,6,29,6,29
Set3_30w_K11,0.45714285714285713,0.6122448979591837,0.47619047619047616,0.8571428571428571,0.8571428571428571,0.05714285714285714,0.1,0.474025974025974,0.14971096507177994,2,33,5,30
Set3_30w_LOO,0.4714285714285714,0.6105263157894737,0.48333333333333334,0.8285714285714286,0.8285714285714286,0.11428571428571428,0.1,0.44285714285714284,0.49672396144896314,4,31,6,29
