k,fold,accuracy,correct,left_to_right,right_to_left,total,correct_proportion,left_to_right_proportion,right_to_left_proportion
3,1,0.5294117647058824,23,10,17,50,0.46,0.2,0.34
3,2,0.47058823529411764,23,10,17,50,0.46,0.2,0.34
3,3,0.375,23,10,17,50,0.46,0.2,0.34
5,1,0.5,21,17,12,50,0.42,0.34,0.24
5,2,0.5,21,17,12,50,0.42,0.34,0.24
5,3,0.6,21,17,12,50,0.42,0.34,0.24
5,4,0.3,21,17,12,50,0.42,0.34,0.24
5,5,0.2,21,17,12,50,0.42,0.34,0.24
10,1,0.2,21,18,11,50,0.42,0.36,0.22
10,2,0.6,21,18,11,50,0.42,0.36,0.22
10,3,0.4,21,18,11,50,0.42,0.36,0.22
10,4,0.4,21,18,11,50,0.42,0.36,0.22
10,5,0.6,21,18,11,50,0.42,0.36,0.22
10,6,0.6,21,18,11,50,0.42,0.36,0.22
10,7,0.4,21,18,11,50,0.42,0.36,0.22
10,8,0.4,21,18,11,50,0.42,0.36,0.22
10,9,0.4,21,18,11,50,0.42,0.36,0.22
10,10,0.2,21,18,11,50,0.42,0.36,0.22
