threshold,accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
0.1,0.5333333333333333,0.5,1.0,0.6666666666666666,1,7,0,7
0.15000000000000002,0.5333333333333333,0.5,1.0,0.6666666666666666,1,7,0,7
0.20000000000000004,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
0.25000000000000006,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
0.30000000000000004,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
0.3500000000000001,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
0.40000000000000013,0.6,0.5384615384615384,1.0,0.7000000000000001,2,6,0,7
0.45000000000000007,0.5333333333333333,0.5,0.8571428571428571,0.631578947368421,2,6,1,6
0.5000000000000001,0.5333333333333333,0.5,0.8571428571428571,0.631578947368421,2,6,1,6
0.5500000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.6000000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.6500000000000001,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.7000000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.7500000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.8000000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
0.8500000000000002,0.5333333333333333,0.0,0.0,0.0,8,0,7,0
